,Rank,Title, Worldwide gross ,Primary language(s),Year
0,1,Dangal," ₹2,023.81 crore ",Hindi,2016
1,2,Baahubali 2: The Conclusion," ₹1,810.595 crore ",TeluguTamil,2017
2,3,RRR," ₹1,387.26 crore ",Telugu,2022
3,4,KGF: Chapter 2," ₹1,200–1,250 crore ",Kannada,2022
4,5,Jawan," ₹1,148.32 crore ",Hindi,2023
5,6,Pathaan," ₹1,050.3 crore ",Hindi,2023
6,7,Bajrangi Bhaijaan, ₹918.18–969.06 crore ,Hindi,2015
7,8,Animal, ₹917.82 crore ,Hindi,2023
8,9,Secret Superstar, ₹875.78–905.7 crore ,Hindi,2017
9,10,PK, ₹750.595–769.89 crore ,Hindi,2014
10,11,Salaar: Part 1 – Ceasefire, ₹705–715 crore ,Telugu,2023
11,12,2, ₹699.89 crore ,Tamil,2018
12,13,Gadar 2, ₹691.08 crore ,Hindi,2023
13,14,Sultan, ₹614.49–615.705 crore ,Hindi,2016
14,15,Jailer, ₹607–650 crore ,Tamil,2023
15,16,Leo, ₹595–620.5 crore ,Tamil,2023
16,17,Baahubali: The Beginning, ₹600–650 crore ,TeluguTamil,2015
17,18,Sanju, ₹586.85 crore ,Hindi,2018
18,19,Padmaavat, ₹571.98 crore ,Hindi,2018
19,20,Tiger Zinda Hai, ₹565.1 crore ,Hindi,2017
20,21,Dhoom 3, ₹556.74 crore ,Hindi,2013
21,22,War, ₹475.62 crore ,Hindi,2019
22,23,Tiger 3, ₹466.63 crore ,Hindi,2023
23,24,Dunki, ₹458.93–470.6 crore ,Hindi,2023
24,25,Andhadhun, ₹456.89 crore ,Hindi,2018
25,26,Ponniyin Selvan: I, ₹450–500 crore ,Tamil,2022
26,27,Vikram, ₹435–500 crore ,Tamil,2022
27,28,Saaho, ₹419–439 crore ,TeluguHindi,2019
28,29,Brahmāstra: Part One – Shiva, ₹418.8–430.77 crore ,Hindi,2022
29,30,Simmba, ₹400.19 crore ,Hindi,2018
30,31,3 Idiots, ₹397.08–400.61 crore ,Hindi,2009
31,32,Chennai Express, ₹395.92–424.54 crore ,Hindi,2013
32,33,Kantara, ₹393.3–450 crore ,Kannada,2022
33,34,Krrish 3, ₹393.37 crore ,Hindi,2013
34,35,Kabir Singh, ₹379.02 crore ,Hindi,2019
35,36,Dilwale, ₹372.23–376.85 crore ,Hindi,2015
36,37,Tanhaji, ₹367.65 crore ,Hindi,2020
37,38,Prem Ratan Dhan Payo, ₹365.46–388.48 crore ,Hindi,2015
38,39,Pushpa: The Rise, ₹365–373 crore ,Telugu,2021
39,40,Bajirao Mastani, ₹355.61–358.102 crore ,Hindi,2015
40,41,Rocky Aur Rani Kii Prem Kahaani, ₹355.61 crore ,Hindi,2023
41,42,Adipurush, ₹354 crore ,HindiTelugu,2023
42,43,Kick, ₹351.8–388.7 crore ,Hindi,2014
43,44,Happy New Year, ₹349.711–383.1 crore ,Hindi,2014
44,45,Ponniyin Selvan: II, ₹350 crore ,Tamil,2023
45,₹350 crore,Hanu-Man, Telugu ,2024,[95]
46,47,Drishyam 2, ₹345.05 crore ,Hindi,2022
47,48,Uri: The Surgical Strike, ₹342.06 crore ,Hindi,2019
48,49,The Kashmir Files, ₹340.92 crore ,Hindi,2022
49,50,Fighter, ₹337.2 crore ,Hindi,2024
