Season,Competition,Matchday,Date,Venue,Club,Opponent,Match_Result,Playing_Position,Type,Goal_assist,Total_Minutes_Match_Played,Ronaldo Team Goals,Opponent Team Goals
02/03,Liga Portugal,Early Rounds,10/07/02,Home,Sporting CP,Moreirense FC,3-00,LW,Solo run,Unknown,34.0,3,00
02/03,Liga Portugal,Early Rounds,10/07/02,Home,Sporting CP,Moreirense FC,3-00,LW,Header,Rui Jorge,95.0,3,00
02/03,Liga Portugal,Early Rounds,10/26/02,Away,Sporting CP,Boavista FC,1-02,Unknown,Right-footed shot,Carlos Martins,88.0,1,02
02/03,Taca de Portugal Placard,Fourth Round,11/24/02,Home,Sporting CP,CD Estarreja,4-01,Unknown,Left-footed shot,Cesar Prates,67.0,4,01
02/03,Taca de Portugal Placard,Fifth Round,12/18/02,Home,Sporting CP,FC Oliveira do Hospital,8-01,Unknown,Unknown,Unknown,13.0,8,01
03/04,Premier League,Early Rounds,11/01/03,Home,Manchester United,Portsmouth FC,3-00,RW,Direct free kick,Unknown,80.0,3,00
03/04,FA Cup,Fifth Round,2/14/04,Home,Manchester United,Manchester City,4-02,RW,Right-footed shot,Unknown,74.0,4,02
03/04,Premier League,Early Rounds,3/20/04,Home,Manchester United,Tottenham Hotspur,3-00,Unknown,Right-footed shot,Unknown,89.0,3,00
03/04,Premier League,Early Rounds,04/10/04,Away,Manchester United,Birmingham City,1-02,Unknown,Header,Ryan Giggs,60.0,1,02
03/04,Premier League,Early Rounds,5/15/04,Away,Manchester United,Aston Villa,0-02,Unknown,Right-footed shot,Unknown,4.0,0,02
03/04,FA Cup,Final,5/22/04,Home,Manchester United,Millwall FC,3-00,RW,Header,Gary Neville,44.0,3,00
04/05,Premier League,Early Rounds,12/04/04,Home,Manchester United,Southampton FC,3-00,Unknown,Right-footed shot,Gary Neville,87.0,3,00
04/05,FA Cup,Third Round,1/19/05,Away,Manchester United,Exeter City,0-02,Unknown,Unknown,Paul Scholes,9.0,0,02
04/05,Premier League,Early Rounds,1/22/05,Home,Manchester United,Aston Villa,3-01,Unknown,Right-footed shot,Louis Saha,8.0,3,01
04/05,Premier League,Early Rounds,02/01/05,Away,Manchester United,Arsenal FC,2-04,RW,Left-footed shot,Ryan Giggs,54.0,2,04
04/05,Premier League,Early Rounds,02/01/05,Away,Manchester United,Arsenal FC,2-04,RW,Tap-in,Ryan Giggs,58.0,2,04
04/05,FA Cup,Fifth Round,2/19/05,Away,Manchester United,Everton FC,0-02,Unknown,Tap-in,Paul Scholes,58.0,0,02
04/05,FA Cup,Sixth Round,03/12/05,Away,Manchester United,Southampton FC,0-04,Unknown,Left-footed shot,Ruud van Nistelrooy,46.0,0,04
04/05,Premier League,Early Rounds,3/19/05,Home,Manchester United,Fulham FC,1-00,Unknown,Right-footed shot,Roy Keane,21.0,1,00
04/05,FA Cup,Semi-Finals,4/17/05,Away,Manchester United,Newcastle United,1-04,RW,Right-footed shot,Ruud van Nistelrooy,76.0,1,04
05/06,UEFA Champions League Qualifying,Third Round,08/09/05,Home,Manchester United,Debreceni VSC,3-00,Unknown,Right-footed shot,Paul Scholes,63.0,3,00
05/06,Premier League,Early Rounds,10/29/05,Away,Manchester United,Middlesbrough FC,4-01,Unknown,Header,Paul Scholes,90.0,4,01
05/06,EFL Cup,Round of 16,11/30/05,Home,Manchester United,West Bromwich Albion,3-01,RW,Penalty,Unknown,12.0,3,01
05/06,Premier League,Early Rounds,12/31/05,Home,Manchester United,Bolton Wanderers,4-01,Unknown,Right-footed shot,Wayne Rooney,68.0,4,01
05/06,Premier League,Early Rounds,12/31/05,Home,Manchester United,Bolton Wanderers,4-01,Unknown,Left-footed shot,Ruud van Nistelrooy,90.0,4,01
05/06,Premier League,Early Rounds,02/04/06,Home,Manchester United,Fulham FC,4-02,Unknown,Direct free kick,Unknown,14.0,4,02
05/06,Premier League,Early Rounds,02/04/06,Home,Manchester United,Fulham FC,4-02,Unknown,Right-footed shot,Unknown,87.0,4,02
05/06,Premier League,Early Rounds,02/11/06,Away,Manchester United,Portsmouth FC,1-03,RW,Left-footed shot,Unknown,38.0,1,03
05/06,Premier League,Early Rounds,02/11/06,Away,Manchester United,Portsmouth FC,1-03,RW,Right-footed shot,Wayne Rooney,45.0,1,03
05/06,EFL Cup,Final,2/26/06,Home,Manchester United,Wigan Athletic,4-00,RW,Unknown,Louis Saha,59.0,4,00
05/06,Premier League,Early Rounds,03/06/06,Away,Manchester United,Wigan Athletic,1-02,Unknown,Right-footed shot,Ruud van Nistelrooy,74.0,1,02
05/06,Premier League,Early Rounds,05/07/06,Home,Manchester United,Charlton Athletic,4-00,RW,Left-footed shot,Ryan Giggs,23.0,4,00
06/07,Premier League,Early Rounds,8/20/06,Home,Manchester United,Fulham FC,5-01,Unknown,Unknown,Wayne Rooney,19.0,5,01
06/07,Premier League,Early Rounds,9/23/06,Away,Manchester United,Reading FC,1-01,CF,Unknown,John OShea,73.0,1,01
06/07,Premier League,Early Rounds,10/28/06,Away,Manchester United,Bolton Wanderers,0-04,Unknown,Unknown,Louis Saha,82.0,0,04
06/07,Premier League,Early Rounds,11/04/06,Home,Manchester United,Portsmouth FC,3-00,RW,Direct free kick,Unknown,10.0,3,00
06/07,Premier League,Early Rounds,11/29/06,Home,Manchester United,Everton FC,3-00,Unknown,Unknown,Unknown,39.0,3,00
06/07,Premier League,Early Rounds,12/09/06,Home,Manchester United,Manchester City,3-01,Unknown,Unknown,Unknown,84.0,3,01
06/07,Premier League,Early Rounds,12/23/06,Away,Manchester United,Aston Villa,0-03,Unknown,Unknown,Unknown,58.0,0,03
06/07,Premier League,Early Rounds,12/23/06,Away,Manchester United,Aston Villa,0-03,Unknown,Unknown,Gary Neville,85.0,0,03
06/07,Premier League,Early Rounds,12/26/06,Home,Manchester United,Wigan Athletic,3-01,Unknown,Unknown,Paul Scholes,47.0,3,01
06/07,Premier League,Early Rounds,12/26/06,Home,Manchester United,Wigan Athletic,3-01,Unknown,Penalty rebound,Ji-sung Park,50.0,3,01
06/07,Premier League,Early Rounds,12/30/06,Home,Manchester United,Reading FC,3-02,RW,Unknown,Ole Gunnar Solskjaer,58.0,3,02
06/07,Premier League,Early Rounds,12/30/06,Home,Manchester United,Reading FC,3-02,RW,Unknown,Ryan Giggs,77.0,3,02
