Customer_ID,Gender,Age,Membership_Type,Items_Purchased,Total_Spend,Discount_Applied,Days_Since_Last_Purchase,Average_Rating,Satisfaction_Score,Region
1,Male,64,Basic,3,808.12,0,39,3,0.16,North
2,Female,64,Silver,4,662.06,0,76,2,0.4,West
3,Male,21,Basic,3,710.38,1,78,3,0.35,East
4,Male,24,Silver,7,527.39,0,7,5,0.9,West
5,Male,62,Basic,4,587.87,0,6,5,0.55,South
6,Female,52,Silver,3,835.17,0,87,5,0.63,South
7,Male,26,Basic,8,648.11,1,54,1,0.69,West
8,Male,25,Silver,3,949.52,0,83,5,0.53,South
9,Male,62,Platinum,4,570.63,1,85,4,0.77,East
10,Female,34,Gold,7,743.94,0,19,3,0.78,East
11,Male,34,Gold,5,766.41,0,47,4,0.35,West
12,Male,50,Silver,3,629.55,0,19,5,0.08,South
13,Male,49,Basic,10,804.34,0,34,3,0.99,East
14,Male,25,Basic,5,519.71,0,43,5,0.64,East
15,Female,36,Platinum,5,729.38,0,13,4,0.71,South
16,Male,55,Basic,2,444.1,1,36,4,0.76,North
17,Female,20,Basic,3,410.42,0,25,3,0.61,South
18,Female,22,Gold,3,605.9,0,56,1,0.47,West
19,Female,30,Basic,3,580.69,1,21,4,0.98,North
20,Male,64,Basic,0,433.88,1,34,4,0.73,West
21,Female,63,Platinum,2,714.75,1,25,4,0.85,East
22,Male,48,Gold,3,834.23,1,82,4,0.44,North
23,Female,33,Silver,5,551.43,1,11,5,0.9,West
24,Female,49,Platinum,4,756.14,0,19,3,0.73,West
25,Female,39,Silver,5,504.78,0,49,4,0.75,West
26,Female,46,Gold,3,570.08,1,49,4,0.09,North
27,Female,39,Basic,3,592.63,0,34,3,0.62,West
28,Female,60,Basic,2,725.08,0,2,5,0.34,North
29,Female,20,Silver,3,587.75,1,30,4,0.67,North
30,Female,27,Gold,4,300.3,0,38,2,0.57,West
31,Male,59,Silver,3,779.94,1,15,5,0.11,East
32,Male,38,Basic,3,617.07,1,75,5,0.53,South
33,Female,33,Basic,3,255.37,0,88,5,0.45,South
34,Female,29,Gold,6,813.09,1,60,3,0.78,North
35,Female,19,Basic,2,821.1,1,4,5,0.5,West
36,Male,58,Silver,2,438.16,0,83,2,0.48,South
37,Female,41,Basic,1,387.3,1,14,4,0.72,South
38,Male,52,Basic,4,771.42,0,81,3,0.67,West
39,Male,47,Silver,6,771.67,1,8,3,0.99,South
40,Male,47,Silver,6,672.3,0,77,5,0.35,West
41,Male,64,Basic,3,533.19,1,87,5,0.69,South
42,Male,52,Basic,9,481.23,1,11,5,0.17,East
