,Rank,Institution,Location,Continent,Founded,Affiliation,Distance_Type,Enrollment
0,1,Indira Gandhi National Open University,"New Delhi, India",Asia,1985,Public,Distance/In-Person,7140000
1,2,California Community Colleges System,"California, United States",North America,1967,Public,In-Person,2133846
2,3,"National University, Bangladesh","Gazipur, Bangladesh",Asia,1992,Public,In-Person,2097182
3,4,Anadolu University,"Eskişehir, Turkey",Asia,1958,Public,Distance/In-Person,1974343
4,5,Allama Iqbal Open University,"Islamabad, Pakistan",Asia,1974,Public,Distance/In-Person,1027000
5,6,Islamic Azad University,Iran,Asia,1982,Private,In-Person,1000000
6,7,"Laureate Education, Inc.",International,Global,1999,Private,Distance/In-Person,875000
7,8,Bangladesh Open University,"Gazipur, Bangladesh",Asia,1992,Public,Distance,650000
8,9,Universitas Terbuka,"Jakarta, Indonesia",Asia,1984,Public,Distance,646467
9,10,National Technological Institute of Mexico,Mexico,North America,2014,Public,In-Person,620000
10,11,State University of New York system,"New York, United States",North America,1948,Public,In-Person,606232
11,12,Tribhuvan University,"Kirtipur, Nepal",Asia,1959,Public,In-Person,604437
12,13,Savitribai Phule Pune University,"Pune, Maharashtra, India",Asia,1948,Public,In-Person,665000
13,14,Chaudhary Charan Singh University,"Meerut, Uttar Pradesh, India",Asia,1965,Public,In-Person,560000
14,15,University of Mumbai,"Mumbai, Maharashtra, India",Asia,1857,Public,In-Person,549432
15,16,Ramkhamhaeng University,"Bangkok, Thailand",Asia,1971,Public,In-Person,525000
16,17,National Open University of Nigeria,Nigeria,Africa,2002,Public,Distance,515000
17,18,California State University system,"California, United States",North America,1857,Public,In-Person,479000
18,19,University System of Ohio,"Ohio, United States",North America,2007,Public,In-Person,478000
19,20,University of the Punjab,"Lahore, Punjab, Pakistan",Asia,1882,Public,In-Person,450000
20,21,Dr. B R Ambedkar Open University,"Telangana, India",Asia,1982,Public,Distance,450000
21,22,University of South Africa,"Pretoria, Gauteng, South Africa",Africa,1873,Public,Distance,420000
22,23,University of Delhi,"Delhi, India",Asia,1922,Public,In-Person,400000
23,24,Payame Noor University,Iran,Asia,1987,Public,Distance/In-Person,400000
24,25,Sikkim Manipal University,"Sikkim, India",Asia,1995,Private,In-Person,390000
25,26,Minnesota State Colleges and Universities,"Minnesota, United States",North America,1995,Public,In-Person,375000
26,27,National Autonomous University of Mexico,"Mexico City, Mexico",North America,1551,Public,In-Person,356530
27,28,University System of Georgia,"Georgia, United States",North America,1931,Public,In-Person,318027
28,29,University of Buenos Aires,"Buenos Aires, Argentina",South America,1821,Public,In-Person,316050
29,30,State University System of Florida,"Florida, United States",North America,1954,Public,In-Person,358522
30,31,Osmania University,"Hyderabad, Telangana, India",Asia,1918,Public,In-Person,300000
31,32,City University of New York,"New York, United States",North America,1961,Public,In-Person,274357
32,33,National University of Distance Education,Spain,Europe,1972,Public,Distance/In-Person,260079
33,34,Rajiv Gandhi Technical University,"Bhopal, Madhya Pradesh, India",Asia,1998,Public,In-Person,260000
34,35,Cairo University,"Giza, Egypt",Africa,1908,Public,In-Person,257200
35,36,University of California system,"California, United States",North America,1869,Public,In-Person,238700
36,37,University of Texas System,"Texas, United States",North America,1881,Public,In-Person,221337
37,38,Estácio de Sá University,"Rio de Janeiro, Rio de Janeiro, Brazil",South America,1970,Private,In-Person,215000
38,39,University of Guadalajara,"Guadalajara, Jalisco, Mexico",North America,1791,Public,In-Person,209406
39,40,University of Nuevo León,"Monterrey, Nuevo León, Mexico",North America,1933,Public,In-Person,206000
40,41,Open University,"Milton Keynes, United Kingdom",Europe,1969,Public,Distance/In-Person,205420
41,42,University of Applied Science and Technology,Iran,Asia,1992,Public,In-Person,200000
42,43,Technical College System of Georgia,"Georgia, United States",North America,1970,Public,In-Person,191567
43,44,Utah System of Higher Education,"Utah, United States",North America,1894,Public,In-Person,189351
44,45,Russian Presidential Academy of National Economy and Public Administration,"Moscow, Russian Federation",Europe,1977,Public,In-Person,180000
45,46,King Abdulaziz University,"Jeddah, Saudi Arabia",Asia,1976,Public,In-Person,177234
46,47,Technical and Vocational University,Iran,Asia,1965,Public,In-Person,175000
47,48,University of Karachi,"Karachi, Sindh, Pakistan",Asia,1951,Public,In-Person,174000
48,49,National Polytechnic Institute,"Mexico City, Mexico",North America,1936,Public,In-Person,171581
49,50,Autonomous University of Santo Domingo,Santo Domingo,North America,1538,Public,In-Person,170530
50,51,Ain Shams University,"Cairo, Egypt",Africa,1950,Public,In-Person,170000
51,52,University of London,"London, United Kingdom",Europe,1836,Public,In-Person,170000
52,53,Southern New Hampshire University,"New Hampshire, United States",North America,1932,Private,Distance/In-Person,170000
53,54,University of North Carolina system,"North Carolina, United States",North America,1789,Public,In-Person,169792
54,55,Illinois Board of Higher Education,"Illinois, United States",North America,1862,Public,In-Person,163786
55,56,University of Wisconsin System,"Wisconsin, United States",North America,1848,Public,In-Person,162933
56,57,Universiti Teknologi MARA,"Shah Alam, Malaysia",Asia,1956,Public,In-Person,160957
57,58,Korea National Open University,South Korea,Asia,1972,Public,Distance,151413
58,59,Uttar Pradesh Technical University,"Lucknow, Uttar Pradesh, India",Asia,2000,Public,In-Person,150000
59,60,Madhya Pradesh Bhoj Open University,"Bhopal, Madhya Pradesh, India",Asia,1991,Public,Distance,150000
60,61,Sapienza University of Rome,"Rome, Italy",Europe,1303,Public,Distance/In-Person,147000
61,62,University System of Maryland,"Maryland, United States",North America,1988,Public,In-Person,144363
62,63,University of the Republic,"Montevideo, Uruguay",South America,1849,Public,In-Person,144108
63,64,Norte do Paraná University,"Londrina, Paraná, Brazil",South America,1972,Private,Distance/In-Person,130000
64,65,University of the People,"California, United States",North America,2009,Private,Distance,126000
65,66,University of San Carlos of Guatemala,"Guatemala City, Guatemala",North America,1676,Public,In-Person,124000
66,67,National Centre for Distance Education,France,Europe,1939,Public,Distance,120000
67,68,UNIMINUTO system,Colombia,South America,1990,Private,Distance/In-Person,116782
68,69,Texas A&M University System,"Texas, United States",North America,1876,Public,In-Person,114691
